episode_title,rating,number_of_votes,season,episode,is_multi_part_episode
Cartman Gets an Anal Probe,8.3,2026,1,1,FALSE
Weight Gain 4000,8,1580,1,2,FALSE
Volcano,8,1480,1,3,FALSE
Big Gay Al's Big Gay Boat Ride,7.8,1443,1,4,FALSE
An Elephant Makes Love to a Pig,7.8,1347,1,5,FALSE
Death,8.3,1377,1,6,FALSE
Pinkeye,8.5,1449,1,7,FALSE
Starvin' Marvin,8.3,1399,1,8,FALSE
"Mr. Hankey, the Christmas Poo",8.3,1404,1,9,FALSE
Damien,8.1,1286,1,10,FALSE
Tom's Rhinoplasty,8.1,1294,1,11,FALSE
Mecha-Streisand,7.9,1332,1,12,FALSE
Cartman's Mom Is a Dirty Slut,8.8,1573,1,13,TRUE
Terrance and Phillip in Not Without My Anus,6.8,1451,2,1,FALSE
Cartman's Mom is Still a Dirty Slut,8.5,1354,2,2,TRUE
Chickenlover,8.3,1273,2,3,FALSE
Ike's Wee Wee,8.2,1253,2,4,FALSE
Conjoined Fetus Lady,7.9,1186,2,5,FALSE
The Mexican Staring Frog of Southern Sri Lanka,7.9,1170,2,6,FALSE
City on the Edge of Forever,7.7,1174,2,7,FALSE
Summer Sucks,7.7,1100,2,8,FALSE
Chef's Salty Chocolate Balls,7.9,1149,2,9,FALSE
Chickenpox,8.2,1110,2,10,FALSE
Roger Ebert Should Lay Off the Fatty Foods,7.9,1104,2,11,FALSE
Clubhouses,8.1,1084,2,12,FALSE
Cow Days,7.8,1078,2,13,FALSE
Chef Aid,8,1126,2,14,FALSE
Spookyfish,8.7,1276,2,15,FALSE
Merry Christmas Charlie Manson!,8.2,1159,2,16,FALSE
Gnomes,8.5,1234,2,17,FALSE
Prehistoric Ice Man,8.1,1132,2,18,FALSE
Rainforest Shmainforest,8.5,1403,3,1,FALSE
Spontaneous Combustion,8.3,1149,3,2,FALSE
The Succubus,8.1,1176,3,3,FALSE
Jakovasaurs,6.7,1201,3,4,FALSE
Tweek vs. Craig,7.8,1144,3,5,FALSE
Sexual Harassment Panda,8.4,1237,3,6,FALSE
Cat Orgy,8.2,1150,3,7,TRUE
Two Guys Naked in a Hot Tub,8.2,1105,3,8,TRUE
Jewbilee,7.6,1037,3,9,TRUE
Korn's Groovy Pirate Ghost Mystery,8,1216,3,10,FALSE
Chinpokomon,8.7,1390,3,11,FALSE
Hooked on Monkey Fonics,8.1,1060,3,12,FALSE
Starvin' Marvin in Space,8.2,1048,3,13,FALSE
The Red Badge of Gayness,8.4,1103,3,14,FALSE
Mr. Hankey's Christmas Classics,7.4,1105,3,15,FALSE
"Are You There God? It's Me, Jesus",8,1016,3,16,FALSE
World Wide Recorder Concert,8.2,1015,3,17,FALSE
The Tooth Fairy's Tats 2000,8.3,1109,4,1,FALSE
Cartman's Silly Hate Crime 2000,8.7,1195,4,2,FALSE
Timmy 2000,8.3,1104,4,3,FALSE
Quintuplets 2000,7.5,1014,4,4,FALSE
Cartman Joins NAMBLA,9.1,1570,4,5,FALSE
Cherokee Hair Tampons,8.2,1042,4,6,FALSE
Chef Goes Nanners,8.3,1056,4,7,FALSE
Something You Can Do with Your Finger,8.3,1105,4,8,FALSE
Do the Handicapped Go to Hell?,8.5,1118,4,9,TRUE
Probably,8.4,1048,4,10,TRUE
4th Grade,8.2,1043,4,11,FALSE
Trapper Keeper,8.3,1077,4,12,FALSE
Helen Keller! The Musical,8,1006,4,13,FALSE
Pip,7.1,1139,4,14,FALSE
Fat Camp,8.7,1213,4,15,FALSE
The Wacky Molestation Adventure,8.8,1330,4,16,FALSE
A Very Crappy Christmas,7.6,962,4,17,FALSE
It Hits the Fan,8.5,1240,5,1,FALSE
Cripple Fight,8.4,1174,5,2,FALSE
Super Best Friends,8.4,1140,5,3,FALSE
Scott Tenorman Must Die,9.6,4324,5,4,FALSE
Terrance and Phillip: Behind the Blow,7.2,1028,5,5,FALSE
Cartmanland,8.9,1591,5,6,FALSE
Proper Condom Use,8.6,1208,5,7,FALSE
Towelie,8.5,1332,5,8,FALSE
Osama Bin Laden Has Farty Pants,8,1241,5,9,FALSE
How to Eat with Your Butt,8.1,1141,5,10,FALSE
The Entity,8.4,1095,5,11,FALSE
Here Comes the Neighborhood,8.2,1107,5,12,FALSE
Kenny Dies,8.9,1556,5,13,FALSE
Butters' Very Own Episode,8.9,1643,5,14,FALSE
Jared Has Aides,8.1,1124,6,1,FALSE
Asspen,8.4,1279,6,2,FALSE
Freak Strike,8.1,1067,6,3,FALSE
Fun with Veal,8.1,1051,6,4,FALSE
The New Terrance and Phillip Movie Trailer,8.2,1197,6,5,FALSE
Professor Chaos,8.6,1216,6,6,FALSE
The Simpsons Already Did It,8.9,1608,6,7,FALSE
Red Hot Catholic Love,8.3,1181,6,8,FALSE
Free Hat,8.4,1193,6,9,FALSE
Bebe's Boobs Destroy Society,8.3,1186,6,10,FALSE
Child Abduction Is Not Funny,8.6,1201,6,11,FALSE
A Ladder to Heaven,8.7,1356,6,12,FALSE
The Return of the Fellowship of the Ring to the Two Towers,9.3,2310,6,13,FALSE
The Death Camp of Tolerance,8.8,1355,6,14,FALSE
The Biggest Douche in the Universe,8.7,1329,6,15,FALSE
My Future Self n' Me,8.6,1197,6,16,FALSE
Red Sleigh Down,8.2,1099,6,17,FALSE
Cancelled,8.5,1261,7,1,FALSE
Krazy Kripples,8.3,1155,7,2,FALSE
Toilet Paper,8.4,1159,7,3,FALSE
I'm a Little Bit Country,8.2,1119,7,4,FALSE
Fat Butt and Pancake Head,8.5,1323,7,5,FALSE
Lil' Crime Stoppers,8.6,1165,7,6,FALSE
Red Man's Greed,7.7,1035,7,7,FALSE
South Park Is Gay,8.3,1214,7,8,FALSE
Christian Rock Hard,9.1,1698,7,9,FALSE
Grey Dawn,8.3,1086,7,10,FALSE
Casa Bonita,9.1,1810,7,11,FALSE
All About Mormons,8.9,1618,7,12,FALSE
Butt Out,8.1,1106,7,13,FALSE
Raisins,8.5,1248,7,14,FALSE
It's Christmas in Canada,7.8,1049,7,15,FALSE
Good Times with Weapons,9.1,2070,8,1,FALSE
Up the Down Steroid,8.5,1300,8,2,FALSE
The Passion of the Jew,8.7,1577,8,3,FALSE
You Got F'd in the A,8.2,1216,8,4,FALSE
AWESOM-O,9.2,2041,8,5,FALSE
The Jeffersons,8.7,1452,8,6,FALSE
Goobacks,8.4,1273,8,7,FALSE
Douche and Turd,8.5,1267,8,8,FALSE
Something Wall-Mart This Way Comes,8.7,1299,8,9,FALSE
Pre-School,8.4,1156,8,10,FALSE
Quest for Ratings,8.4,1135,8,11,FALSE
Stupid Spoiled Whore Video Playset,8.6,1380,8,12,FALSE
Cartman's Incredible Gift,8.6,1255,8,13,FALSE
Woodland Critter Christmas,9.1,2194,8,14,FALSE
Mr. Garrison's Fancy New Vagina,7.8,1220,9,1,FALSE
"Die Hippie, Die",8.8,1501,9,2,FALSE
Wing,7.5,1100,9,3,FALSE
Best Friends Forever,8.7,1324,9,4,FALSE
The Losing Edge,8.7,1353,9,5,FALSE
The Death of Eric Cartman,9.1,1776,9,6,FALSE
Erection Day,7.7,1115,9,7,FALSE
Two Days Before the Day After Tomorrow,8.6,1341,9,8,FALSE
Marjorine,8.7,1348,9,9,FALSE
Follow That Egg,8,1058,9,10,FALSE
Ginger Kids,8.8,1476,9,11,FALSE
Trapped in the Closet,9.2,2414,9,12,FALSE
Free Willzyx,8.2,1230,9,13,FALSE
Bloody Mary,7.9,1156,9,14,FALSE
The Return of Chef,8.2,1413,10,1,FALSE
Smug Alert!,8.2,1275,10,2,FALSE
Cartoon Wars: Part 1,8.7,1558,10,3,TRUE
Cartoon Wars: Part 2,8.8,1498,10,4,TRUE
A Million Little Fibers,6.3,1622,10,5,FALSE
ManBearPig,8,1534,10,6,FALSE
Tsst,9,1848,10,7,FALSE
"Make Love, Not Warcraft",9.6,4138,10,8,FALSE
Mystery of the Urinal Deuce,8.3,1351,10,9,FALSE
Miss Teacher Bangs a Boy,8.5,1432,10,10,FALSE
Hell on Earth 2006,8.1,1251,10,11,FALSE
Go God Go,8.7,1439,10,12,TRUE
Go God Go XII,8.7,1377,10,13,TRUE
Stanley's Cup,7.4,1543,10,14,FALSE
With Apologies to Jesse Jackson,8.8,1872,11,1,FALSE
Cartman Sucks,8.9,1733,11,2,FALSE
Lice Capades,8.1,1399,11,3,FALSE
The Snuke,8.4,1466,11,4,FALSE
Fantastic Easter Special,8.4,1350,11,5,FALSE
D-Yikes!,8,1399,11,6,FALSE
Night of the Living Homeless,8.8,1729,11,7,FALSE
Le Petit Tourette,8.9,1766,11,8,FALSE
More Crap,7.9,1473,11,9,FALSE
